"GEO_ID","NAME","B09019_001E","B09019_001M","B09019_002E","B09019_002M","B09019_003E","B09019_003M","B09019_004E","B09019_004M","B09019_005E","B09019_005M","B09019_006E","B09019_006M","B09019_007E","B09019_007M","B09019_008E","B09019_008M","B09019_009E","B09019_009M","B09019_010E","B09019_010M","B09019_011E","B09019_011M","B09019_012E","B09019_012M","B09019_013E","B09019_013M","B09019_014E","B09019_014M","B09019_015E","B09019_015M","B09019_016E","B09019_016M","B09019_017E","B09019_017M","B09019_018E","B09019_018M","B09019_019E","B09019_019M","B09019_020E","B09019_020M","B09019_021E","B09019_021M","B09019_022E","B09019_022M","B09019_023E","B09019_023M","B09019_024E","B09019_024M","B09019_025E","B09019_025M","B09019_026E","B09019_026M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In households:","Margin of Error!!Total:!!In households:","Estimate!!Total:!!In households:!!Householder:","Margin of Error!!Total:!!In households:!!Householder:","Estimate!!Total:!!In households:!!Householder:!!Male:","Margin of Error!!Total:!!In households:!!Householder:!!Male:","Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Estimate!!Total:!!In households:!!Householder:!!Female:","Margin of Error!!Total:!!In households:!!Householder:!!Female:","Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Estimate!!Total:!!In households:!!Opposite-sex spouse","Margin of Error!!Total:!!In households:!!Opposite-sex spouse","Estimate!!Total:!!In households:!!Same-sex spouse","Margin of Error!!Total:!!In households:!!Same-sex spouse","Estimate!!Total:!!In households:!!Opposite-sex unmarried partner","Margin of Error!!Total:!!In households:!!Opposite-sex unmarried partner","Estimate!!Total:!!In households:!!Same-sex unmarried partner","Margin of Error!!Total:!!In households:!!Same-sex unmarried partner","Estimate!!Total:!!In households:!!Child:","Margin of Error!!Total:!!In households:!!Child:","Estimate!!Total:!!In households:!!Child:!!Biological child","Margin of Error!!Total:!!In households:!!Child:!!Biological child","Estimate!!Total:!!In households:!!Child:!!Adopted child","Margin of Error!!Total:!!In households:!!Child:!!Adopted child","Estimate!!Total:!!In households:!!Child:!!Stepchild","Margin of Error!!Total:!!In households:!!Child:!!Stepchild","Estimate!!Total:!!In households:!!Grandchild","Margin of Error!!Total:!!In households:!!Grandchild","Estimate!!Total:!!In households:!!Brother or sister","Margin of Error!!Total:!!In households:!!Brother or sister","Estimate!!Total:!!In households:!!Parent","Margin of Error!!Total:!!In households:!!Parent","Estimate!!Total:!!In households:!!Parent-in-law","Margin of Error!!Total:!!In households:!!Parent-in-law","Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law","Margin of Error!!Total:!!In households:!!Son-in-law or daughter-in-law","Estimate!!Total:!!In households:!!Other relatives","Margin of Error!!Total:!!In households:!!Other relatives","Estimate!!Total:!!In households:!!Foster child","Margin of Error!!Total:!!In households:!!Foster child","Estimate!!Total:!!In households:!!Other nonrelatives","Margin of Error!!Total:!!In households:!!Other nonrelatives","Estimate!!Total:!!In group quarters","Margin of Error!!Total:!!In group quarters"
"0500000US39089","Licking County, Ohio","173750","*****","169865","361","64035","637","31426","925","6390","520","25036","956","32609","870","8676","503","23933","840","34591","745","203","93","4732","558","308","128","50751","1096","46804","1070","1334","318","2613","439","4184","560","1353","307","1878","369","648","338","821","233","1637","319","99","93","4625","708","3885","361"
"0500000US39091","Logan County, Ohio","45316","*****","44846","171","18677","376","9631","387","2424","242","7207","410","9046","402","2562","284","6484","394","10104","379","157","107","1307","226","25","33","12163","520","10728","625","157","87","1278","363","846","217","127","59","159","89","46","36","121","59","366","167","29","28","719","218","470","171"
"0500000US39093","Lorain County, Ohio","307670","*****","298372","649","120281","700","60032","1063","15095","664","44937","1142","60249","1064","19325","732","40924","1185","57328","986","296","109","7469","517","393","126","89583","1205","84513","1234","1441","300","3629","495","6292","607","2387","370","2255","383","848","239","1019","285","2273","364","156","90","7792","751","9298","649"
"0500000US39095","Lucas County, Ohio","431102","*****","421481","653","179930","1138","85834","1124","27857","953","57977","1308","94096","1083","32469","1014","61627","1361","68631","1216","624","133","13602","858","843","194","120815","1685","112998","1765","2935","482","4882","586","10616","1034","3546","487","2987","447","906","218","1025","244","4033","577","465","239","13458","1021","9621","653"
"0500000US39097","Madison County, Ohio","44135","*****","38725","762","15013","332","7777","431","1636","236","6141","427","7236","374","1820","218","5416","399","7928","354","34","26","1405","278","30","33","10902","489","9996","508","352","122","554","150","1091","316","306","142","293","112","66","45","119","66","353","137","0","24","1185","273","5410","762"
"0500000US39099","Mahoning County, Ohio","229961","*****","223438","462","98472","667","46901","913","15436","680","31465","1000","51571","963","18575","674","32996","940","40074","825","202","58","6302","523","267","98","61113","1266","57251","1402","1460","309","2402","391","5044","613","2490","466","2147","312","395","138","371","112","1829","301","200","116","4532","578","6523","462"
"0500000US39101","Marion County, Ohio","65299","*****","59634","280","24737","397","12057","427","3500","331","8557","509","12680","436","3999","330","8681","409","11508","534","30","27","1758","258","105","56","16584","581","15048","582","338","135","1198","237","1408","320","344","123","639","194","70","48","182","92","598","199","150","93","1521","378","5665","280"
"0500000US39103","Medina County, Ohio","177980","*****","176522","315","69007","485","36329","831","7843","527","28486","819","32678","731","9798","571","22880","674","39908","708","185","87","3463","436","58","44","53715","875","50359","961","1040","247","2316","390","2657","460","1072","310","1428","291","406","159","538","176","1298","365","102","98","2685","430","1458","315"
"0500000US39105","Meigs County, Ohio","23078","*****","22855","116","9045","267","4568","287","1344","206","3224","259","4477","305","1164","131","3313","301","4492","310","2","3","737","166","0","21","6303","350","5670","379","248","96","385","153","766","241","108","72","307","112","41","54","175","77","272","153","9","12","598","223","223","116"
"0500000US39107","Mercer County, Ohio","40884","*****","40363","180","16234","270","9068","358","1902","235","7166","348","7166","333","2210","178","4956","356","9303","286","27","27","901","193","6","9","12257","361","11327","425","406","126","524","137","622","228","191","83","107","66","59","54","40","36","120","46","31","26","465","183","521","180"
"0500000US39109","Miami County, Ohio","105371","*****","104406","208","41043","455","21849","622","5296","420","16553","629","19194","562","6528","484","12666","643","21325","586","90","56","2631","370","126","76","31261","831","28758","939","830","289","1673","327","2187","384","701","230","1019","298","209","123","398","133","430","172","73","81","2913","623","965","208"
"0500000US39111","Monroe County, Ohio","13942","*****","13796","141","5745","224","3174","183","935","127","2239","199","2571","202","886","135","1685","176","2946","202","1","3","311","93","14","16","4034","254","3754","266","138","104","142","75","123","71","118","75","130","94","7","10","39","38","70","37","0","18","258","119","146","141"
